
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   26  1.020413899402111e-03  3.914477903405216e-03  1.208650527258266e-02  34    0   38
   27  3.914477903405216e-03  3.863837123475042e-03  1.377926229238436e-02  34    0   84
   28  3.863837123475042e-03  1.037408452882579e-02  1.530185459171303e-02  34    0   56
   29  1.363194872654509e-03  1.363194872654509e-03  1.571851642013829e-02  36   10  253
   30  1.363194872654509e-03  3.720978404130160e-03  1.621352380207031e-02  36   -10   30
   31  2.839475568029913e-03  2.839475568029913e-03  1.719440056963064e-02  38    5  143
   32  6.183829063848274e-04  6.183829063848274e-04  1.703962102703546e-02  40    5  265
   33  6.183829063848274e-04  1.090172075912360e-03  1.723826876821816e-02  40   -10   48
   34  1.090172075912360e-03  3.086896861082981e-03  1.758220309111481e-02  40    0   51
   35  3.086896861082981e-03  9.189477050418516e-03  1.851385713605682e-02  40    0   92
   36  2.218022963746210e-03  2.218022963746210e-03  1.914658836457803e-02  40   10  295
   37  2.218022963746210e-03  1.354705344724366e-02  1.975047525597222e-02  40   -10   61
   38  6.095134014033927e-04  6.095134014033927e-04  1.923457617485797e-02  44   10  269
   39  6.095134014033927e-04  1.237933707707151e-03  1.938984566571571e-02  44   -10   46
   40  1.237933707707151e-03  1.237933707707151e-03  1.931391201456276e-02  46    0   61
   41  1.237933707707151e-03  2.744823638137231e-03  1.961056520327456e-02  46    0   51
   42  2.744823638137231e-03  8.680286999130277e-03  2.024215050214107e-02  46    0   71
   43  8.680286999130277e-03  1.432272127527796e-02  2.202356570449224e-02  46    0  105
   44  3.932464406102961e-03  3.932464406102961e-03  2.273431894717555e-02  46    5  208
   45  3.932464406102961e-03  3.592744342920183e-03  2.325331109150584e-02  48   -5  105
   46  7.528121082811699e-04  7.528121082811699e-04  2.311077662835447e-02  50   10  275
   47  7.528121082811699e-04  1.439971483535346e-03  2.322814800548113e-02  50   -10   59
   48  1.439971483535346e-03  3.931415016006410e-03  2.344766091777586e-02  50    0   71
   49  3.931415016006410e-03  9.557799427599722e-03  2.401643345064668e-02  50    0  103
   50  2.975650100215978e-03  2.975650100215978e-03  2.441929292334915e-02  50    5  208
   51  2.975650100215978e-03  1.373925236295890e-02  2.479998811524816e-02  50   -5   66
   52  5.137202095463899e-03  5.137202095463899e-03  2.540890254858556e-02  50    5  210
   53  5.137202095463899e-03  5.137202095463899e-03  2.596189943770316e-02  50   -5  105
   54  5.137202095463899e-03  5.137202095463899e-03  2.646451201890798e-02  50    0  105
   55  5.137202095463899e-03  1.308242379697766e-02  2.692170672179151e-02  50    0  105
   56  1.308242379697766e-02  1.308242379697766e-02  2.791011898532832e-02  50    0  105
   57  9.959110414201030e-04  9.959110414201030e-04  2.907169927813443e-02  54   10  285
   58  9.959110414201030e-04  1.950723882266671e-03  2.913874468349486e-02  54   -10   59
   59  1.950723882266671e-03  6.980267736756506e-03  2.926657463321968e-02  54    0   79
   60  4.926150187379835e-03  4.926150187379835e-03  2.925239959457873e-02  56    5  210
   61  4.926150187379835e-03  1.093546017533631e-02  2.952885160212896e-02  56   -5  105
   62  1.093546017533631e-02  1.093546017533631e-02  3.006477430649785e-02  56    0  105
   63  6.207123297526504e-03  6.207123297526504e-03  2.988168126122288e-02  58    5  210
   64  4.299553532016108e-03  4.299553532016108e-03  2.956118162300627e-02  60    0  210
   65  4.299553532016108e-03  4.299553532016108e-03  2.971224886203073e-02  60   -5  105
   66  4.299553532016108e-03  1.155803294100214e-02  2.985309837234404e-02  60    0  105
   67  1.155803294100214e-02  1.155803294100214e-02  3.018719790670859e-02  60    0  105
   68  1.924509840898893e-03  1.924509840898893e-03  3.023722530426228e-02  60   10  299
   69  1.924509840898893e-03  1.924509840898893e-03  3.028576982075110e-02  60   -10   94
   70  1.924509840898893e-03  5.369657730793918e-03  3.033290433839661e-02  60    0   74
   71  5.369657730793918e-03  3.635850820587010e-02  3.045738797454397e-02  60    0  102
   72  8.474651589391010e-03  8.474651589391010e-03  3.063473520252146e-02  60    5  210
   73  8.474651589391010e-03  1.987265455880725e-02  3.079164712397384e-02  60   -5  105
   74  8.269534241957626e-03  8.269534241957626e-03  3.092787597449124e-02  60    5  210
   75  8.269534241957626e-03  1.379783296080555e-02  3.104969217431431e-02  60   -5  105
   76  4.148575592056208e-03  4.148575592056208e-03  3.110601978469583e-02  60    5  210
   77  4.148575592056208e-03  1.467088341643799e-02  3.115944634532274e-02  60   -5  105
   78  1.467088341643799e-02  1.250482696388588e-02  3.132808394598860e-02  60    0  105
   79  8.803504875855486e-03  8.803504875855486e-03  3.141608348851324e-02  60    5  210
   80  8.803504875855486e-03  8.535259743037170e-03  3.149593006513959e-02  60   -5  105
   81  8.535259743037170e-03  8.535259743037170e-03  3.156642956951770e-02  60    0  105
   82  5.344748747232484e-03  5.344748747232484e-03  3.160761357789469e-02  60    5  210
   83  5.344748747232484e-03  1.230127189760864e-02  3.164665442460614e-02  60   -5  105
   84  9.043634430162822e-03  9.043634430162822e-03  3.170836510474567e-02  60    5  210
   85  6.968819555159819e-03  6.968819555159819e-03  3.175256632395743e-02  60    0  210
   86  6.968819555159819e-03  1.272814711246530e-02  3.179414366115242e-02  60   -5  105
   87  1.272814711246530e-02  1.272814711246530e-02  3.186417478259401e-02  60    0  105
   88  9.297369104592395e-03  9.297369104592395e-03  3.191093822057185e-02  60    5  210
   89  9.297369104592395e-03  9.297369104592395e-03  3.195454467899476e-02  60   -5  105
   90  9.297369104592395e-03  1.675079264525814e-02  3.199535410531364e-02  60    0  105
   91  1.675079264525814e-02  1.638744198858886e-02  3.206260850404232e-02  60    0  105
   92  1.112593486358953e-02  1.112593486358953e-02  3.210337531084896e-02  60    5  210
   93  1.112593486358953e-02  1.112593486358953e-02  3.214141928959959e-02  60   -5  105
   94  1.112593486358953e-02  1.755326142761100e-02  3.217701639631239e-02  60    0  105
   95  1.755326142761100e-02  1.755326142761100e-02  3.222871534284519e-02  60    0  105
   96  1.024535999371773e-02  1.024535999371773e-02  3.225664872174010e-02  60    5  210
   97  1.024535999371773e-02  1.649700903407601e-02  3.228302274654558e-02  60   -5  105
   98  1.062878374484332e-02  1.062878374484332e-02  3.230895127398500e-02  60    5  210
   99  1.062878374484332e-02  1.692735581880925e-02  3.233345094839381e-02  60   -5  105
  100  1.045998800504775e-02  1.045998800504775e-02  3.235628775509276e-02  60    5  210
  101  1.045998800504775e-02  1.045998800504775e-02  3.237791720083130e-02  60   -5  105
  102  1.045998800504775e-02  1.038584145685512e-02  3.239846550223645e-02  60    0  105
  103  1.038584145685512e-02  1.038584145685512e-02  3.241778803191028e-02  60    0  105
  104  6.784245033692562e-04  6.784245033692562e-04  3.241903061016818e-02  60   15  370
  105  6.784245033692562e-04  1.415481315809015e-03  3.242025523106368e-02  60   -15   49
  106  1.415481315809015e-03  4.347330200775436e-03  3.242279699525140e-02  60    0   53
  107  4.347330200775436e-03  1.695112473201650e-02  3.243049376243429e-02  60    0   64
  108  1.018537577137143e-02  1.018537577137143e-02  3.244789099321007e-02  60    5  210
  109  1.018537577137143e-02  1.695928370522822e-02  3.246443676605217e-02  60   -5  105
  110  1.335920095908896e-02  1.335920095908896e-02  3.248493359153855e-02  60    5  210
  111  9.366744457997482e-03  9.366744457997482e-03  3.249851793445879e-02  60    0  210
  112  9.366744457997482e-03  2.031159533062574e-02  3.251148029649501e-02  60   -5  105
  113  4.810543656727978e-03  4.810543656727978e-03  3.251791904354696e-02  60    5  210
  114  4.810543656727978e-03  1.261136927824546e-02  3.252420186639511e-02  60   -5  105
  115  1.261136927824546e-02  1.261136927824546e-02  3.254001558047910e-02  60    0  105
  116  1.261136927824546e-02  1.261136927824546e-02  3.255491384720494e-02  60    0  105
  117  8.937526540057418e-03  8.937526540057418e-03  3.256492554410022e-02  60    5  210
  118  8.937526540057418e-03  8.937526540057418e-03  3.257450249660888e-02  60   -5  105
  119  8.937526540057418e-03  1.545259772486774e-02  3.258364704450482e-02  60    0  105
  120  7.334169987704976e-03  7.334169987704976e-03  3.259089552711030e-02  60    5  210
  121  7.334169987704976e-03  1.510347289269349e-02  3.259787137343853e-02  60   -5  105
  122  1.510347289269349e-02  1.450140710082139e-02  3.261158662271542e-02  60    0  105
  123  6.312561713498684e-03  6.312561713498684e-03  3.261692496827710e-02  60    5  210
  124  6.312561713498684e-03  1.373342095563789e-02  3.262216392375299e-02  60   -5  105
  125  6.372348816864099e-03  6.372348816864099e-03  3.262729856153120e-02  60    5  210
  126  6.372348816864099e-03  1.159024859410081e-02  3.263227788584526e-02  60   -5  105
  127  1.159024859410081e-02  3.308122385147443e-02  3.264095071909330e-02  60    0  105
  128  4.441016985263451e-03  4.441016985263451e-03  3.264414302599405e-02  60    5  194
  129  4.441016985263451e-03  3.451754634103769e-02  3.264727050875048e-02  60   -5   65
  130  1.525283710629837e-02  1.525283710629837e-02  3.265751779927790e-02  60    5  210
  131  6.418863744129749e-03  6.418863744129749e-03  3.266160650763424e-02  60    0  210
  132  6.418863744129749e-03  9.872056856605327e-03  3.266551181042036e-02  60   -5  105
  133  9.872056856605327e-03  9.872056856605327e-03  3.267143503992243e-02  60    0  105
  134  8.061629417589767e-03  8.061629417589767e-03  3.267602210721859e-02  60    5  210
  135  8.061629417589767e-03  1.777730722495025e-02  3.268043447051746e-02  60   -5  105
  136  1.777730722495025e-02  1.777730722495025e-02  3.268955198183206e-02  60    0  105
  137  1.227326040321482e-03  1.227326040321482e-03  3.269018881290239e-02  60   15  387
  138  1.227326040321482e-03  2.152999255090582e-03  3.269078000436758e-02  60   -15   61
  139  2.152999255090582e-03  6.671472350399085e-03  3.269181761969180e-02  60    0   65
  140  6.671472350399085e-03  3.749171483698020e-02  3.269497689564688e-02  60    0   98
  141  3.749171483698020e-02  3.749171483698020e-02  3.271094602115943e-02  60    0  105
  142  2.236424058107975e-03  2.236424058107975e-03  3.271183367273133e-02  60   15  410
  143  2.236424058107975e-03  4.114408985401876e-03  3.271268665257543e-02  60   -15   85
  144  4.114408985401876e-03  1.257160731776267e-02  3.271423517970658e-02  60    0  105
  145  1.257160731776267e-02  1.121360368331895e-02  3.271877456499218e-02  60    0  105
  146  1.121360368331895e-02  1.121360368331895e-02  3.272261230252802e-02  60    0  105
  147  1.121360368331895e-02  1.121360368331895e-02  3.272624803019259e-02  60    0  105
  148  1.121360368331895e-02  1.943892904997423e-02  3.272966450653262e-02  60    0  105
  149  1.943892904997423e-02  1.943892904997423e-02  3.273514758745166e-02  60    0  105
  150  1.943892904997423e-02  1.842847136110082e-02  3.274023715355816e-02  60    0  105
  151  1.842847136110082e-02  1.686469199821298e-02  3.274458435541687e-02  60    0  105
  152  1.686469199821298e-02  1.686469199821298e-02  3.274823769754116e-02  60    0  105
  153  1.686469199821298e-02  2.608203126312300e-02  3.275161978146263e-02  60    0  105
  154  2.608203126312300e-02  2.408468916629267e-02  3.275628894467627e-02  60    0  105
  155  2.408468916629267e-02  2.408468916629267e-02  3.276017477556965e-02  60    0  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 155
   Total nonlinear iterations = 5
   Total linear iterations    = 18882

