
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   26  1.023105619938674e-03  3.930141141574615e-03  1.208588377404162e-02  34    5   38
   27  3.930141141574615e-03  3.871064201787735e-03  1.378515153788083e-02  34    5   84
   28  3.871064201787735e-03  1.255329001281564e-02  1.530995222029954e-02  34    5   59
   29  1.601537140384145e-03  1.457835824294224e-03  1.581392684966786e-02  36   15  234
   30  1.457835824294224e-03  3.743501735515000e-03  1.633976217518591e-02  36    5   29
   31  2.870420514795557e-03  2.465672685089582e-03  1.732506340515539e-02  38   10  143
   32  5.515562262925350e-04  5.470070369949626e-04  1.714361637592621e-02  40   15  253
   33  5.470070369949626e-04  9.932912795468831e-04  1.731823052548390e-02  40    5   43
   34  9.932912795468831e-04  2.851877222558192e-03  1.763020341932926e-02  40    5   47
   35  2.851877222558192e-03  8.592060762682407e-03  1.849017614042958e-02  40    5   96
   36  1.753358828184278e-03  1.753358828184278e-03  1.899364054123662e-02  40   15  259
   37  1.753358828184278e-03  8.066441335477586e-03  1.947884133485359e-02  40    5   60
   38  6.367831766622205e-04  6.367831766622205e-04  1.897985914604649e-02  44   15  269
   39  6.367831766622205e-04  1.262468320666752e-03  1.914535124132059e-02  44    5   47
   40  1.262468320666752e-03  3.587735441717919e-03  1.946692075971101e-02  44    5   62
   41  2.843421467160759e-03  2.408215671837289e-03  1.976846530535780e-02  46   10  199
   42  2.408215671837289e-03  4.077980222533944e-03  2.031687522001488e-02  46    5   72
   43  4.077980222533944e-03  1.071890797618786e-02  2.118660808690947e-02  46    5   88
   44  1.071890797618786e-02  1.071890797618786e-02  2.316134512731487e-02  46    5  105
   45  2.694639841378283e-03  2.650454280532623e-03  2.346008222533597e-02  48   10  208
   46  5.834157269803085e-04  5.834157269803085e-04  2.328708620673918e-02  50   15  268
   47  5.834157269803085e-04  1.193846932419712e-03  2.337621483760628e-02  50    5   55
   48  1.193846932419712e-03  3.258366515093616e-03  2.355525946951272e-02  50    5   66
   49  3.258366515093616e-03  6.418173913904015e-03  2.402308335632452e-02  50    5  104
   50  3.844477373368192e-03  3.844477373368192e-03  2.453874392666302e-02  50   10  210
   51  3.844477373368192e-03  1.778266602162782e-02  2.501810350379247e-02  50    5   91
   52  4.165560835571891e-03  4.165560835571891e-03  2.549975323954108e-02  50   10  209
   53  4.165560835571891e-03  4.165560835571891e-03  2.594523957554863e-02  50    5  105
   54  4.165560835571891e-03  1.187099370779400e-02  2.635751897001287e-02  50    5  103
   55  7.990286205672150e-03  7.990286205672150e-03  2.706496621836213e-02  50   10  210
   56  7.990286205672150e-03  7.366258582155646e-03  2.767656709536814e-02  50    5  105
   57  3.192957423660317e-03  2.690992361017143e-03  2.898705700684332e-02  54   10  210
   58  2.690992361017143e-03  4.595411828908103e-03  2.916901398660043e-02  54    5  103
   59  4.595411828908103e-03  1.148959244582437e-02  2.946060998170889e-02  54    5  105
   60  3.392951963605576e-03  3.392951963605576e-03  2.934282134054850e-02  56   10  210
   61  3.392951963605576e-03  1.266181052388950e-02  2.953044118771774e-02  56    5   75
   62  1.266181052388950e-02  2.070977380726893e-02  3.014157400043279e-02  56    5  105
   63  4.582873894130091e-03  4.582873894130091e-03  2.988631128376999e-02  58   10  210
   64  4.582873894130091e-03  9.607054797980071e-03  2.957561272951538e-02  60    5  105
   65  9.607054797980071e-03  1.949020745582244e-02  2.989673188100094e-02  60    5  105
   66  1.054807485438376e-02  1.054807485438376e-02  3.019699587646915e-02  60   10  210
   67  2.168783293816825e-03  2.168783293816825e-03  3.025284168346583e-02  60   10  210
   68  2.168783293816825e-03  2.168783293816825e-03  3.030686555035694e-02  60    5  104
   69  2.168783293816825e-03  9.519769922039302e-03  3.035913346641964e-02  60    5   79
   70  9.519769922039302e-03  3.689745921797256e-02  3.056948236696047e-02  60    5  105
   71  5.027376845883330e-03  5.027376845883330e-03  3.066924792565106e-02  60   10  210
   72  5.027376845883330e-03  1.680323823916145e-02  3.076207689001887e-02  60    5   84
   73  1.190695511366464e-02  1.190695511366464e-02  3.095765596831891e-02  60   10  210
   74  8.824020991017463e-03  8.824020991017463e-03  3.108370439289872e-02  60   10  210
   75  8.824020991017463e-03  7.492138529693538e-03  3.119630288799381e-02  60    5  105
   76  7.492138529693538e-03  1.126027020832041e-02  3.128267383642943e-02  60    5  105
   77  7.641572371714925e-03  7.641572371714925e-03  3.136324481005783e-02  60   10  210
   78  7.641572371714925e-03  1.384651466179487e-02  3.143706333937704e-02  60    5  105
   79  1.384651466179487e-02  1.168352852310369e-02  3.155622058156962e-02  60    5  105
   80  7.186697995423493e-03  6.679717823882544e-03  3.161160219834706e-02  60   10  210
   81  6.679717823882544e-03  6.679717823882544e-03  3.165979180134944e-02  60    5  105
   82  6.679717823882544e-03  1.036597822978498e-02  3.170495968309999e-02  60    5  105
   83  1.036597822978498e-02  2.078683878676566e-02  3.176988825989206e-02  60    5  105
   84  9.416934538800317e-03  9.416934538800317e-03  3.182402943647551e-02  60   10  210
   85  9.416934538800317e-03  2.931003455946657e-02  3.187416014076831e-02  60    5  105
   86  2.931003455946657e-02  2.522099385522949e-02  3.200899311332644e-02  60    5  105
   87  9.855600599572635e-04  8.688271778628972e-04  3.201326296052575e-02  60   20  384
   88  8.688271778628972e-04  1.468146563475753e-03  3.201682378904077e-02  60    5   52
   89  1.468146563475753e-03  4.343969048002700e-03  3.202279095225564e-02  60    5   74
   90  4.343969048002700e-03  1.055819789459882e-02  3.204011973102326e-02  60    5  105
   91  1.055819789459882e-02  2.209065533222391e-02  3.208023614326307e-02  60    5  105
   92  2.386319631553004e-03  2.386319631553004e-03  3.208893412153121e-02  60   10  201
   93  2.386319631553004e-03  1.364130552312118e-02  3.209750202157599e-02  60    5   55
   94  1.364130552312118e-02  3.804643259996037e-02  3.214413129385055e-02  60    5  105
   95  1.350012470133744e-02  1.350012470133744e-02  3.218665147855618e-02  60   10  210
   96  9.639737373424729e-03  9.639737373424729e-03  3.221511600193919e-02  60   10  210
   97  9.639737373424729e-03  1.590630674910340e-02  3.224203283811158e-02  60    5  105
   98  9.367414453891131e-03  9.367414453891131e-03  3.226685525508665e-02  60   10  210
   99  9.367414453891131e-03  9.367414453891131e-03  3.229047473304966e-02  60    5  105
  100  9.367414453891131e-03  9.367414453891131e-03  3.231292205847536e-02  60    5  105
  101  9.367414453891131e-03  9.367414453891131e-03  3.233430846708617e-02  60    5  105
  102  9.367414453891131e-03  1.668718345780916e-02  3.235467947113296e-02  60    5  105
  103  5.906021531128903e-03  5.906021531128903e-03  3.236703325098769e-02  60   10  210
  104  5.906021531128903e-03  2.471346837871190e-02  3.237901834705667e-02  60    5   96
  105  2.471346837871190e-02  2.201998950790008e-02  3.242549498508623e-02  60    5  105
  106  3.894024974675171e-04  3.761680700537104e-04  3.242617044596968e-02  60   20  349
  107  3.761680700537104e-04  7.748843143493643e-04  3.242683007682674e-02  60    5   46
  108  7.748843143493643e-04  1.939359550616336e-03  3.242818962548284e-02  60    5   48
  109  1.939359550616336e-03  3.113184611872983e-03  3.243157178567092e-02  60    5   97
  110  3.113184611872983e-03  1.134238283346586e-02  3.243693386177211e-02  60    5   56
  111  1.134238283346586e-02  1.796931919942777e-02  3.245578846135799e-02  60    5  105
  112  1.796931919942777e-02  1.796931919942777e-02  3.248360322275518e-02  60    5  105
  113  8.830774846120172e-03  8.830774846120172e-03  3.249636376759852e-02  60   10  210
  114  8.830774846120172e-03  1.498507899698427e-02  3.250861147195047e-02  60    5  105
  115  1.498507899698427e-02  2.400192116112091e-02  3.252822783037751e-02  60    5  105
  116  1.834491808739763e-02  1.623377394364994e-02  3.255035322145888e-02  60   10  210
  117  3.788212246854621e-03  3.773941147494160e-03  3.255469746916730e-02  60   15  315
  118  3.773941147494160e-03  7.682030983754903e-03  3.255893334479040e-02  60    5  102
  119  7.682030983754903e-03  2.180723185927965e-02  3.256732024800101e-02  60    5  105
  120  2.180723185927965e-02  2.180723185927965e-02  3.258952126393384e-02  60    5  105
  121  7.835737782770146e-03  7.835737782770146e-03  3.259691115681246e-02  60   10  210
  122  7.835737782770146e-03  7.835737782770146e-03  3.260403532591830e-02  60    5  105
  123  7.835737782770146e-03  1.521701267403009e-02  3.261090627152081e-02  60    5  105
  124  1.521701267403009e-02  1.453434366415250e-02  3.262350907909189e-02  60    5  105
  125  8.703052343239644e-03  8.703052343239644e-03  3.263033111822743e-02  60   10  210
  126  8.703052343239644e-03  1.579670548089376e-02  3.263681960135667e-02  60    5  105
  127  1.579670548089376e-02  1.579670548089376e-02  3.264798736584679e-02  60    5  105
  128  1.579670548089376e-02  1.579670548089376e-02  3.265832267481519e-02  60    5  105
  129  1.579670548089376e-02  1.579670548089376e-02  3.266783834117996e-02  60    5  105
  130  1.579670548089376e-02  1.579670548089376e-02  3.267678702878758e-02  60    5  105
  131  1.579670548089376e-02  1.579670548089376e-02  3.268496551666714e-02  60    5  105
  132  1.579670548089376e-02  1.579670548089376e-02  3.269259030998119e-02  60    5  105
  133  1.579670548089376e-02  1.579670548089376e-02  3.269967993118440e-02  60    5  105
  134  9.442981671750042e-03  9.442981671750042e-03  3.270354813120258e-02  60   10  210
  135  9.442981671750042e-03  1.498194099824085e-02  3.270736206011246e-02  60    5  105
  136  1.498194099824085e-02  1.498194099824085e-02  3.271299843859180e-02  60    5  105
  137  1.498194099824085e-02  1.498194099824085e-02  3.271824887923226e-02  60    5  105
  138  1.498194099824085e-02  1.498194099824085e-02  3.272312899128821e-02  60    5  105
  139  1.498194099824085e-02  1.498194099824085e-02  3.272766675941034e-02  60    5  105
  140  1.498194099824085e-02  2.323511524381186e-02  3.273188003348305e-02  60    5  105
  141  2.323511524381186e-02  2.323511524381186e-02  3.273782698896385e-02  60    5  105
  142  2.323511524381186e-02  2.323511524381186e-02  3.274312637533745e-02  60    5  105
  143  2.323511524381186e-02  2.042949136658555e-02  3.274788476870443e-02  60    5  105
  144  2.042949136658555e-02  2.042949136658555e-02  3.275161072878752e-02  60    5  105
  145  2.042949136658555e-02  1.314912365010589e-02  3.275500884737036e-02  60    5  105
  146  1.314912365010589e-02  1.314912365010589e-02  3.275701308437982e-02  60    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 146
   Total nonlinear iterations = 980
   Total linear iterations    = 17015

