
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    1.000000    1.126309    1.685764  7.01e-04  9.76e-05
    1.100000    1.106861    1.700420  7.49e-04  6.49e-05
    1.200000    1.086028    1.712351  7.92e-04  3.09e-05
    1.300000    1.063946    1.721494  8.31e-04  4.52e-06
    1.400000    1.040763    1.727804  8.63e-04  4.11e-05
    1.500000    1.016643    1.731249  8.87e-04  7.87e-05
    1.600000    0.991770    1.731811  9.03e-04  1.17e-04
    1.700000    0.966344    1.729487  9.09e-04  1.56e-04
    1.800000    0.940584    1.724289  9.03e-04  1.95e-04
    1.900000    0.914733    1.716245  8.85e-04  2.34e-04
    2.000000    0.889050    1.705393  8.52e-04  2.73e-04
    2.100000    0.863821    1.691792  8.05e-04  3.11e-04
    2.200000    0.839347    1.675510  7.42e-04  3.47e-04
    2.300000    0.815954    1.656637  6.62e-04  3.80e-04
    2.400000    0.793979    1.635273  5.67e-04  4.12e-04
    2.500000    0.773771    1.611538  4.56e-04  4.40e-04
    2.600000    0.755681    1.585570  3.32e-04  4.64e-04
    2.700000    0.740050    1.557522  1.96e-04  4.83e-04
    2.800000    0.727196    1.527569  5.13e-05  4.97e-04
    2.900000    0.717399    1.495906  9.79e-05  5.06e-04
    3.000000    0.710883    1.462748  2.47e-04  5.09e-04
    3.100000    0.707805    1.428334  3.92e-04  5.05e-04
    3.200000    0.708238    1.392928  5.29e-04  4.94e-04
    3.300000    0.712172    1.356819  6.53e-04  4.77e-04
    3.400000    0.719510    1.320326  7.61e-04  4.53e-04
    3.500000    0.730078    1.283796  8.52e-04  4.22e-04
    3.600000    0.743635    1.247605  9.23e-04  3.85e-04
    3.700000    0.759889    1.212162  9.76e-04  3.41e-04
    3.800000    0.778515    1.177904  1.01e-03  2.91e-04
    3.900000    0.799168    1.145293  1.02e-03  2.35e-04
    4.000000    0.821496    1.114814  1.02e-03  1.74e-04
    4.100000    0.845154    1.086962  1.00e-03  1.09e-04
    4.200000    0.869806    1.062233  9.73e-04  4.04e-05
    4.300000    0.895134    1.041103  9.30e-04  2.90e-05
    4.400000    0.920842    1.024011  8.78e-04  9.80e-05
    4.500000    0.946652    1.011337  8.18e-04  1.65e-04
    4.600000    0.972311    1.003376  7.54e-04  2.27e-04
    4.700000    0.997584    1.000322  6.86e-04  2.83e-04
    4.800000    1.022259    1.002248  6.18e-04  3.32e-04
    4.900000    1.046139    1.009108  5.50e-04  3.73e-04
    5.000000    1.069050    1.020736  4.85e-04  4.05e-04
    5.100000    1.090829    1.036858  4.21e-04  4.29e-04
    5.200000    1.111333    1.057112  3.61e-04  4.45e-04
    5.300000    1.130431    1.081071  3.04e-04  4.54e-04
    5.400000    1.148006    1.108264  2.49e-04  4.57e-04
    5.500000    1.163956    1.138199  1.97e-04  4.56e-04
    5.600000    1.178189    1.170379  1.47e-04  4.50e-04
    5.700000    1.190627    1.204316  9.87e-05  4.41e-04
    5.800000    1.201201    1.239542  5.14e-05  4.30e-04
    5.900000    1.209856    1.275612  4.71e-06  4.16e-04
    6.000000    1.216546    1.312111  4.19e-05  4.01e-04
    6.100000    1.221236    1.348656  8.88e-05  3.84e-04
    6.200000    1.223902    1.384891  1.36e-04  3.66e-04
    6.300000    1.224531    1.420493  1.85e-04  3.47e-04
    6.400000    1.223118    1.455163  2.35e-04  3.27e-04
    6.500000    1.219671    1.488633  2.85e-04  3.06e-04
    6.600000    1.214206    1.520659  3.37e-04  2.83e-04
    6.700000    1.206751    1.551018  3.90e-04  2.60e-04
    6.800000    1.197345    1.579511  4.44e-04  2.35e-04
    6.900000    1.186035    1.605962  4.99e-04  2.09e-04
    7.000000    1.172883    1.630209  5.53e-04  1.82e-04
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 103 (attempted = 103)
   Total number of error test failures = 0
   Total RHS evals:  Fe = 1742,  Fi = 0
   Total mass matrix setups = 1539
   Total mass matrix solves = 1845
   Total mass times evals = 103
   Errors: u = 0.000634856, v = 0.000337591, total = 0.000508434
