
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    1.000000    1.127006    1.685667  3.60e-06  1.83e-07
    1.100000    1.107606    1.700355  3.06e-06  1.45e-07
    1.200000    1.086818    1.712320  2.90e-06  1.40e-07
    1.300000    1.064774    1.721499  2.52e-06  1.10e-07
    1.400000    1.041623    1.727845  2.09e-06  9.17e-08
    1.500000    1.017529    1.731328  1.80e-06  6.82e-08
    1.600000    0.992672    1.731928  1.28e-06  4.21e-08
    1.700000    0.967252    1.729643  8.76e-07  1.68e-08
    1.800000    0.941487    1.724485  2.49e-07  2.94e-08
    1.900000    0.915619    1.716479  1.32e-06  1.26e-07
    2.000000    0.889906    1.705666  3.18e-06  2.37e-07
    2.100000    0.864630    1.692102  4.43e-06  3.13e-07
    2.200000    0.840094    1.675857  4.92e-06  3.24e-07
    2.300000    0.816621    1.657017  4.45e-06  2.97e-07
    2.400000    0.794551    1.635684  4.77e-06  3.10e-07
    2.500000    0.774232    1.611977  4.18e-06  2.76e-07
    2.600000    0.756017    1.586033  4.01e-06  2.57e-07
    2.700000    0.740250    1.558005  4.25e-06  2.68e-07
    2.800000    0.727251    1.528067  4.06e-06  2.57e-07
    2.900000    0.717305    1.496412  3.81e-06  2.39e-07
    3.000000    0.710640    1.463256  3.62e-06  2.25e-07
    3.100000    0.707416    1.428839  3.49e-06  2.14e-07
    3.200000    0.707713    1.393422  3.41e-06  2.05e-07
    3.300000    0.711523    1.357296  3.38e-06  2.00e-07
    3.400000    0.718753    1.320779  3.35e-06  1.95e-07
    3.500000    0.729230    1.284218  3.28e-06  1.89e-07
    3.600000    0.742715    1.247990  3.08e-06  1.76e-07
    3.700000    0.758916    1.212503  2.77e-06  1.59e-07
    3.800000    0.777509    1.178194  2.40e-06  1.38e-07
    3.900000    0.798146    1.145528  2.00e-06  1.15e-07
    4.000000    0.820476    1.114988  1.58e-06  8.91e-08
    4.100000    0.844150    1.087071  1.18e-06  6.29e-08
    4.200000    0.868833    1.062273  8.01e-07  3.72e-08
    4.300000    0.894204    1.041074  4.96e-07  1.30e-08
    4.400000    0.919964    1.023913  8.07e-08  1.12e-07
    4.500000    0.945832    1.011173  1.59e-06  2.22e-07
    4.600000    0.971554    1.003150  3.36e-06  2.66e-07
    4.700000    0.996894    1.000039  3.70e-06  3.06e-07
    4.800000    1.021636    1.001916  4.34e-06  4.07e-07
    4.900000    1.045585    1.008736  4.41e-06  3.42e-07
    5.000000    1.068561    1.020332  4.18e-06  3.77e-07
    5.100000    1.090403    1.036429  4.51e-06  3.59e-07
    5.200000    1.110967    1.056667  4.32e-06  3.65e-07
    5.300000    1.130122    1.080617  4.60e-06  3.62e-07
    5.400000    1.147753    1.107807  4.59e-06  3.59e-07
    5.500000    1.163754    1.137744  4.55e-06  3.50e-07
    5.600000    1.178037    1.169929  4.87e-06  3.54e-07
    5.700000    1.190523    1.203875  4.52e-06  3.32e-07
    5.800000    1.201144    1.239112  5.11e-06  3.51e-07
    5.900000    1.209846    1.275196  4.59e-06  3.15e-07
    6.000000    1.216582    1.311711  5.23e-06  3.44e-07
    6.100000    1.221320    1.348272  4.71e-06  3.01e-07
    6.200000    1.224034    1.384526  5.15e-06  3.27e-07
    6.300000    1.224711    1.420146  4.81e-06  2.90e-07
    6.400000    1.223348    1.454837  4.82e-06  2.95e-07
    6.500000    1.219952    1.488328  4.84e-06  2.78e-07
    6.600000    1.214539    1.520376  4.44e-06  2.59e-07
    6.700000    1.207137    1.550758  4.74e-06  2.64e-07
    6.800000    1.197785    1.579276  4.14e-06  2.29e-07
    6.900000    1.186529    1.605752  4.49e-06  2.43e-07
    7.000000    1.173432    1.630027  3.87e-06  2.02e-07
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 165 (attempted = 168)
   Total number of error test failures = 3
   Total RHS evals:  Fe = 1008,  Fi = 0
   Total mass matrix setups = 676
   Total mass matrix solves = 1008
   Total mass times evals = 165
   Errors: u = 3.7533e-06, v = 2.61601e-07, total = 2.66042e-06
