
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   26  1.020413899408159e-03  3.914477903991188e-03  1.208650527259153e-02  34    5   38
   27  3.914477903991188e-03  3.863837123846752e-03  1.377926229263401e-02  34    5   84
   28  3.863837123846752e-03  1.037407750440344e-02  1.530185459208104e-02  34    5   56
   29  1.363199179529315e-03  1.363199179529315e-03  1.571851800751950e-02  36   15  253
   30  1.363199179529315e-03  3.720982558007261e-03  1.621352688371651e-02  36    5   30
   31  2.839477925818388e-03  2.839477925818388e-03  1.719440430281024e-02  38   10  143
   32  6.183830642849918e-04  6.183830642849918e-04  1.703962466197268e-02  40   15  265
   33  6.183830642849918e-04  1.090172276956425e-03  1.723827240506588e-02  40    5   48
   34  1.090172276956425e-03  3.086897492998023e-03  1.758220670590121e-02  40    5   51
   35  3.086897492998023e-03  9.189481003520772e-03  1.851386070398507e-02  40    5   92
   36  2.168294103543354e-03  2.168294103543354e-03  1.913272771008736e-02  40   15  295
   37  2.168294103543354e-03  1.340384137004741e-02  1.972399583300435e-02  40    5   59
   38  5.812224498062428e-04  5.812224498062428e-04  1.920177174402561e-02  44   15  260
   39  5.812224498062428e-04  1.201854341403621e-03  1.935027674784279e-02  44    5   45
   40  1.201854341403621e-03  1.201854341403621e-03  1.926722357809200e-02  46    5   61
   41  1.201854341403621e-03  2.707654904718135e-03  1.955647594025218e-02  46    5   49
   42  2.707654904718135e-03  8.167771971577526e-03  2.018265172686167e-02  46    5   86
   43  8.167771971577526e-03  2.228884185115612e-02  2.187630679781082e-02  46    5  105
   44  4.841961314808491e-03  4.841961314808491e-03  2.275719111599154e-02  46   10  210
   45  4.841961314808491e-03  4.278353117293444e-03  2.341800091318264e-02  48    5  105
   46  8.666123066596883e-04  8.666123066596883e-04  2.328959407763166e-02  50   15  278
   47  8.666123066596883e-04  1.577957110996383e-03  2.342157007978272e-02  50    5   61
   48  1.577957110996383e-03  3.905707245551271e-03  2.365597458798312e-02  50    5   78
   49  3.905707245551271e-03  6.469519120965484e-03  2.420610770654505e-02  50    5  104
   50  6.469519120965484e-03  6.469519120965484e-03  2.503182513494434e-02  50    5  105
   51  6.469519120965484e-03  6.469519120965484e-03  2.576271724610646e-02  50    5  105
   52  6.469519120965484e-03  6.469519120965484e-03  2.641053106220365e-02  50    5  105
   53  6.469519120965484e-03  1.108805289708852e-02  2.698543541741437e-02  50    5  105
   54  1.108805289708852e-02  1.108805289708852e-02  2.782635663999346e-02  50    5  105
   55  6.835117233020605e-04  6.835117233020605e-04  2.896361477166220e-02  54   15  270
   56  6.835117233020605e-04  1.151305755085364e-03  2.901108027372151e-02  54    5   46
   57  1.151305755085364e-03  3.129774748026494e-03  2.908967783906003e-02  54    5   58
   58  3.129774748026494e-03  8.609429177129353e-03  2.929521478173503e-02  54    5  104
   59  2.150342527110547e-03  2.150342527110547e-03  2.911324503173272e-02  56   15  294
   60  2.150342527110547e-03  8.517468909855426e-03  2.924196213506022e-02  56    5   55
   61  8.517468909855426e-03  1.663331893058921e-02  2.970696982039420e-02  56    5  105
   62  5.355215538377122e-03  5.355215538377122e-03  2.952512784910986e-02  58   10  210
   63  5.355215538377122e-03  1.039195128336290e-02  2.927837054319690e-02  60    5  105
   64  1.039195128336290e-02  1.039195128336290e-02  2.967026863628866e-02  60    5  105
   65  1.039195128336290e-02  1.039195128336290e-02  3.000116199877719e-02  60    5  105
   66  1.039195128336290e-02  1.653053729845406e-02  3.028199663378029e-02  60    5  105
   67  3.490041788063467e-03  3.490041788063467e-03  3.036664137395542e-02  60   10  210
   68  3.490041788063467e-03  9.321300572970054e-03  3.044694680348070e-02  60    5   92
   69  9.321300572970054e-03  1.656938599610255e-02  3.064214362027811e-02  60    5  105
   70  6.689272324485894e-03  6.689272324485894e-03  3.076687087436790e-02  60   10  210
   71  6.689272324485894e-03  1.173716038088588e-02  3.088038912250233e-02  60    5  105
   72  6.963861522328313e-03  6.963861522328313e-03  3.098810922732776e-02  60   10  210
   73  6.963861522328313e-03  6.963861522328313e-03  3.108625384471981e-02  60    5  105
   74  6.963861522328313e-03  1.742181193729524e-02  3.117602182147214e-02  60    5  105
   75  1.994783963919660e-03  1.994783963919660e-03  3.120032141537850e-02  60   10  199
   76  1.994783963919660e-03  1.201253333149048e-02  3.122403696266679e-02  60    5   55
   77  1.201253333149048e-02  1.998264901013797e-02  3.135545846719004e-02  60    5  105
   78  1.057571395069471e-02  1.057571395069471e-02  3.145706479095915e-02  60   10  210
   79  5.338538004115864e-03  5.338538004115864e-03  3.150412713296585e-02  60   10  210
   80  5.338538004115864e-03  5.338538004115864e-03  3.154849234751519e-02  60    5  105
   81  5.338538004115864e-03  5.338538004115864e-03  3.159032792334895e-02  60    5  105
   82  5.338538004115864e-03  5.338538004115864e-03  3.163033837030680e-02  60    5  105
   83  5.338538004115864e-03  1.081065360661389e-02  3.166822069310911e-02  60    5  105
   84  1.081065360661389e-02  2.270532797926388e-02  3.173936353608864e-02  60    5  105
   85  1.407235704745696e-02  1.407235704745696e-02  3.182237047104994e-02  60   10  210
   86  1.407235704745696e-02  1.407235704745696e-02  3.189628438600168e-02  60    5  105
   87  1.096924021823070e-02  1.096924021823070e-02  3.194867768991059e-02  60   10  210
   88  9.062583968230507e-03  9.062583968230507e-03  3.198877459022959e-02  60   10  210
   89  9.062583968230507e-03  9.062583968230507e-03  3.202649013383122e-02  60    5  105
   90  9.062583968230507e-03  1.854330009652574e-02  3.206199184251779e-02  60    5  105
   91  7.275256468734395e-03  7.275256468734395e-03  3.208902134993789e-02  60   10  210
   92  7.275256468734395e-03  7.275256468734395e-03  3.211479197560889e-02  60    5  105
   93  7.275256468734395e-03  1.343722073078673e-02  3.213947173436447e-02  60    5  105
   94  1.343722073078673e-02  1.343722073078673e-02  3.218231923362697e-02  60    5  105
   95  1.343722073078673e-02  1.343722073078673e-02  3.222198245451283e-02  60    5  105
   96  8.738504226293461e-03  8.738504226293461e-03  3.224620949591547e-02  60   10  210
   97  8.738504226293461e-03  8.738504226293461e-03  3.226929216428927e-02  60    5  105
   98  8.738504226293461e-03  8.738504226293461e-03  3.229133052117475e-02  60    5  105
   99  8.738504226293461e-03  8.738504226293461e-03  3.231236514966884e-02  60    5  105
  100  8.738504226293461e-03  8.738504226293461e-03  3.233245143876047e-02  60    5  105
  101  8.738504226293461e-03  7.554369121202203e-03  3.235162465644394e-02  60    5  105
  102  7.554369121202203e-03  7.554369121202203e-03  3.236756699844760e-02  60    5  105
  103  7.554369121202203e-03  1.218417508883314e-02  3.238288479646791e-02  60    5  105
  104  1.218417508883314e-02  1.155388646205265e-02  3.240634980585942e-02  60    5  105
  105  1.811171851388263e-03  1.811171851388263e-03  3.240977844911185e-02  60   15  315
  106  1.811171851388263e-03  3.361886744791586e-03  3.241312772400719e-02  60    5   93
  107  3.361886744791586e-03  1.033910886872147e-02  3.241925502318792e-02  60    5  103
  108  1.033910886872147e-02  2.441293522007783e-02  3.243746838367529e-02  60    5  105
  109  2.441293522007783e-02  2.441293522007783e-02  3.247696962157356e-02  60    5  105
  110  3.476352863212293e-03  3.476352863212293e-03  3.248220776272515e-02  60   15  315
  111  3.476352863212293e-03  9.218367100190090e-03  3.248736865746580e-02  60    5   90
  112  9.218367100190090e-03  1.630545320156485e-02  3.250062717212909e-02  60    5  105
  113  1.630545320156485e-02  1.630545320156485e-02  3.252268496958285e-02  60    5  105
  114  1.360173029326723e-02  1.360173029326723e-02  3.253975131902367e-02  60   10  210
  115  1.360173029326723e-02  1.360173029326723e-02  3.255573928064356e-02  60    5  105
  116  1.360173029326723e-02  1.360173029326723e-02  3.257081579920346e-02  60    5  105
  117  2.182769056602851e-03  2.182769056602851e-03  3.257312740529266e-02  60   15  307
  118  2.182769056602851e-03  4.857547682935582e-03  3.257541930361192e-02  60    5   71
  119  4.857547682935582e-03  1.734670432583494e-02  3.258043277204955e-02  60    5  102
  120  9.811407999192901e-03  9.811407999192901e-03  3.259020493932307e-02  60   10  210
  121  9.811407999192901e-03  2.367114337638019e-02  3.259952477922826e-02  60    5  105
  122  2.367114337638019e-02  2.367114337638019e-02  3.262022910717802e-02  60    5  105
  123  1.760105842389832e-02  1.760105842389832e-02  3.263420425186855e-02  60   10  210
  124  3.600221325534810e-03  3.600221325534810e-03  3.263693770419109e-02  60   15  315
  125  3.600221325534810e-03  6.936806986533508e-03  3.263960895925759e-02  60    5   94
  126  6.936806986533508e-03  1.996731602442927e-02  3.264461543200432e-02  60    5   99
  127  1.996731602442927e-02  5.145062225865121e-02  3.265812226778766e-02  60    5  105
  128  2.314774589415722e-02  2.314774589415722e-02  3.267234396964767e-02  60   10  210
  129  1.508691231982707e-02  1.508691231982707e-02  3.268062278955736e-02  60   10  210
  130  1.508691231982707e-02  1.508691231982707e-02  3.268839122922051e-02  60    5  105
  131  1.508691231982707e-02  1.299251469251291e-02  3.269569303472316e-02  60    5  105
  132  1.299251469251291e-02  1.299251469251291e-02  3.270146236885218e-02  60    5  105
  133  1.299251469251291e-02  1.118215314345060e-02  3.270692011193020e-02  60    5  105
  134  1.118215314345060e-02  1.007338486346974e-02  3.271137236821686e-02  60    5  105
  135  1.007338486346974e-02  2.023490392120921e-02  3.271519107389274e-02  60    5  105
  136  2.023490392120921e-02  2.023490392120921e-02  3.272223473384296e-02  60    5  105
  137  1.437863853617764e-02  1.437863853617764e-02  3.272694415195673e-02  60   10  210
  138  1.437863853617764e-02  1.437863853617764e-02  3.273118371869058e-02  60    5  105
  139  1.437863853617764e-02  1.437863853617764e-02  3.273528474348136e-02  60    5  105
  140  1.437863853617764e-02  1.437863853617764e-02  3.273901013755619e-02  60    5  105
  141  1.437863853617764e-02  1.437863853617764e-02  3.274258196530572e-02  60    5  105
  142  1.123655402508177e-02  1.123655402508177e-02  3.274509621583101e-02  60   10  210
  143  1.123655402508177e-02  1.806364327875622e-02  3.274757149970708e-02  60    5  105
  144  1.417319080046484e-02  1.417319080046484e-02  3.275049431206997e-02  60   10  210
  145  1.417319080046484e-02  1.417319080046484e-02  3.275314358470142e-02  60    5  105
  146  1.417319080046484e-02  1.417319080046484e-02  3.275568497629092e-02  60    5  105
  147  1.417319080046484e-02  1.343317405520937e-02  3.275806624214909e-02  60    5  105
  148  1.343317405520937e-02  1.343317405520937e-02  3.276015109996818e-02  60    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 148
   Total nonlinear iterations = 985
   Total linear iterations    = 17338

